category,carbon,energy,water,count
Clean Transportation,543.574,387.156,31.342000000000002,5
Emission Control,830.2366666666667,148.20833333333334,161.91833333333332,6
Green Technology,646.034,243.62399999999997,116.638,5
Ocean Conservation,551.085,116.78,1114.705,2
Recycling,368.20000000000005,220.88,370.86,2
Reforestation,493.75,34.455,2694.815,2
Renewable Energy,89.14333333333333,102.67333333333333,0.0,12
Sustainable Agriculture,25636.144,38.144,17392.052,5
Waste Management,259.365,189.8166666666667,175.65499999999997,6
Water Conservation,399.09285714285716,88.42999999999999,1536.3314285714284,7
