id,title,categories,location,goal_amount,carbon,energy,water
77,Clean Transportation Project in Haryana,Clean Transportation,Haryana,476478.00,385.02,344.76,0.0
25,Emission Control Project in Himachal Pradesh,Emission Control,Himachal Pradesh,567081.00,1543.98,137.34,169.11
94,Green Technology Project in Rajasthan,Green Technology,Rajasthan,1849286.00,166.29,234.23,54.63
30,Emission Control Project in Meghalaya,Emission Control,Meghalaya,868711.00,1518.65,83.29,104.6
21,Recycling Project in Bihar,Recycling,Bihar,1710696.00,320.64,186.51,321.46
49,Reforestation Project in Gujarat,Reforestation,Gujarat,729911.00,832.8,0.0,1598.02
47,Reforestation Project in Bihar,Reforestation,Bihar,1460989.00,780.63,0.0,1438.59
3,Renewable Energy Project in Punjab,Renewable Energy,Punjab,951980.00,83.86,107.51,0.0
17,Recycling Project in Haryana,Recycling,Haryana,690893.00,198.94,112.23,197.86
37,Water Conservation Project in Andhra Pradesh,Water Conservation,Andhra Pradesh,1557887.00,47.9,17.24,841.95
28,Emission Control Project in Uttarakhand,Emission Control,Uttarakhand,187113.00,1518.06,143.25,174.88
20,Recycling Project in Goa,Recycling,Goa,1927998.00,348.2,217.79,364.73
33,Emission Control Project in Nagaland,Emission Control,Nagaland,144057.00,1568.17,145.86,192.96
1,Renewable Energy Project in Andhra Pradesh,Renewable Energy,Andhra Pradesh,157864.00,67.43,90.77,0.0
76,Clean Transportation Project in Jharkhand,Clean Transportation,Jharkhand,1814368.00,522.7,446.52,0.0
106,Ocean Conservation Project in Meghalaya,Ocean Conservation,Meghalaya,517361.00,210.58,0.0,1679.02
104,Ocean Conservation Project in Jharkhand,Ocean Conservation,Jharkhand,585898.00,103.5,0.0,838.32
5,Renewable Energy Project in Meghalaya,Renewable Energy,Meghalaya,684564.00,37.54,54.82,0.0
18,Recycling Project in Madhya Pradesh,Recycling,Madhya Pradesh,1846459.00,388.7,239.98,420.18
64,Sustainable Agriculture Project in Manipur,Sustainable Agriculture,Manipur,132410.00,103.76,0.0,56.67
110,Ocean Conservation Project in Himachal Pradesh,Ocean Conservation,Himachal Pradesh,1502676.00,204.12,0.0,1657.03
55,Reforestation Project in Himachal Pradesh,Reforestation,Himachal Pradesh,757160.00,552.09,0.0,1108.28
27,Emission Control Project in Rajasthan,Emission Control,Rajasthan,716226.00,503.75,116.95,155.0
